original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Puttur_Darbe_DC (Karnataka),Puttur,Darbe,DC,Karnataka,12.7632858,75.2018421,"Puttur, KA, India",,,,,,574200,Puttur,Putturu taluk,,Karnataka,KA,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sullia_Srirampt_D (Karnataka),Sullia,Srirampt,D,Karnataka,12.76319,75.51206,"Sullia, DK, India",,,,,,,Sullia,Dakshina Kannada,DK,Karnataka,KA,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kadaba_AnugrDPP_D (Karnataka),Kadaba,AnugrDPP,D,Karnataka,13.241592,76.861927,"Kadaba, KA, India",,,,,,,Kadaba,Tumkur,,Karnataka,KA,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Sambalpur_Central_H_2 (Orissa),Sambalpur,Central,H2,Orissa,21.4990293,83.90158638769736,"Central Garden, VSSUT Boys Hostels - Garden, Burla Road, Burla - 768018, OR, India","Central Garden, VSSUT Boys Hostels - Garden",,Burla Road,,,768018,Burla,Burla,,Odisha,OR,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bargarh_JJCpxDPP_D (Orissa),Bargarh,JJCpxDPP,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Balangir_Rjndpara_D (Orissa),Balangir,Rjndpara,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Sonepur_BrezeDPP_D (Orissa),Sonepur,BrezeDPP,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Sagar_Bahreya_I (Madhya Pradesh),Sagar,Bahreya,I,Madhya Pradesh,23.8417793,78.7466817,"Sagar, MP, India",,,,,,470001,Sagar,Sagar Nagar Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Narsapur_Xroad_D (Telangana),Narsapur,Xroad,D,Telangana,19.093951,78.156322,"Narsapur, AD, India",,,,,,,Narsapur,Adilabad,AD,Telangana,TG,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Buxar_Sarswati_D (Bihar),Buxar,Sarswati,D,Bihar,25.5716195,83.9729568,"Buxar, BR, India",,,,,,802101,Buxar,Buxar,,Bihar,BR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dumraon_Nishangr_D (Bihar),Dumraon,Nishangr,D,Bihar,25.5544754,84.1490887,"Dumraon, BR, India",,,,,,802136,Dumraon,Dumraon,,Bihar,BR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jagdishpur_Wardno13_D (Bihar),Jagdishpur,Wardno13,D,Bihar,25.1878,86.97945,"Jagdishpur, BG, India",,,,,,,Jagdishpur,Bhagalpur,BG,Bihar,BR,India,in,0.25,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Solan_MohanPrk_D (Himachal Pradesh),Solan,MohanPrk,D,Himachal Pradesh,30.9077569,77.1023645,"Solan, HP, India",,,,,,173212,Solan,Solan,,Himachal Pradesh,HP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kharagpur_DC (West Bengal),Kharagpur,,DC,West Bengal,22.34309,87.3012875,"Kharagpur, WB, India",,,,,,721301,Kharagpur,Kharagpur-I,,West Bengal,WB,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ChandroknaRD_Central_DPP_3 (West Bengal),ChandroknaRD,Central,DPP3,West Bengal,23.260603,87.827432,"Central Avenue W, Barddhaman -, WB, India",,,Central Avenue W,,,,Barddhaman,Bardhaman,BR,West Bengal,WB,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chandigarh (Chandigarh),Chandigarh,,,Chandigarh,30.7334421,76.7797143,"Chandigarh, CH, India",,,,,,,Chandigarh,Chandigarh,,Chandigarh,CH,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyderabad_PndrgNgr_DC (Telangana),Hyderabad,PndrgNgr,DC,Telangana,,,,,,,,,,,,,,,,,,,,,,
Kakdwip_KlngrDPP_D (West Bengal),Kakdwip,KlngrDPP,D,West Bengal,21.8760278,88.1852758,"Kakdwip, WB, India",,,,,,743347,Kakdwip,Kakdwip,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Krishnagiri_BnglorRd_D (Tamil Nadu),Krishnagiri,BnglorRd,D,Tamil Nadu,12.5188835,78.2206536,"Krishnagiri, TN, India",,,,,,635001,Krishnagiri,Krishnagiri,,Tamil Nadu,TN,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Katihar_Shyndco_D (Bihar),Katihar,Shyndco,D,Bihar,25.5433817,87.5690417,"Katihar, BR, India",,,,,,854101,Katihar,Katihar,,Bihar,BR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guwahati_Jalukbari (Assam),Guwahati,,Jalukbari,Assam,26.1805978,91.753943,"Guwahati, AS, India",,,,,,781015,Guwahati,Guwahati,,Assam,AS,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kanpur_GovndNgr_DC (Uttar Pradesh),Kanpur,GovndNgr,DC,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,
Nalbari_Bhgtpura_D (Assam),Nalbari,Bhgtpura,D,Assam,26.445568,91.4354335,"Nalbari, AS, India",,,,,,781335,Nalbari,Nalbari,,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Barpeta_ShivBari_D (Assam),Barpeta,ShivBari,D,Assam,26.3257824,91.0075712,"Barpeta, AS, India",,,,,,781300,Barpeta,Barpeta,,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bongaigaon_Chpaguri_D (Assam),Bongaigaon,Chpaguri,D,Assam,26.4800126,90.5580387,"Bongaigaon, AS, India",,,,,,783380,Bongaigaon,Bongaigaon (Pt),,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kokrajhar_PigonDPP_D (Assam),Kokrajhar,PigonDPP,D,Assam,26.4003745,90.2710412,"Kokrajhar, AS, India",,,,,,783370,Kokrajhar,Kokrajhar,,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Udala_NagplDPP_D (Orissa),Udala,NagplDPP,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Kaghaznagar_Central_DPP_1 (Telangana),Kaghaznagar,Central,DPP1,Telangana,19.3551634,79.4877003,"Kaghaznagar, TG, India",,,,,,504296,Kaghaznagar,Kagaznagar mandal,,Telangana,TG,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mancherial_Hitech_D (Telangana),Mancherial,Hitech,D,Telangana,18.8903616,79.4430184,"HItech city internal road, Mancherial - 504200, TG, India",HItech city internal road,,HItech city internal road,,,504200,Mancherial,Mancherial mandal,,Telangana,TG,India,in,0.81,0.81,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parvathipuram_Central_D_2 (Andhra Pradesh),Parvathipuram,Central,D2,Andhra Pradesh,16.01045,79.637756,"Parvathipuram, GU, India",,,,,,,Parvathipuram,Guntur,GU,Andhra Pradesh,AP,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Palakonda_VadaiDPP_D (Andhra Pradesh),Palakonda,VadaiDPP,D,Andhra Pradesh,18.6036798,83.7559931,"Palakonda, AP, India",,,,,,532440,Palakonda,Palakonda,,Andhra Pradesh,AP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vidisha_ShrprDPP_D (Madhya Pradesh),Vidisha,ShrprDPP,D,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,
GanjBasoda_MnRDDPP_D (Madhya Pradesh),GanjBasoda,MnRDDPP,D,Madhya Pradesh,23.852772,77.938991,"Basoda, VI, India",,,,,,,Basoda,Vidisha,VI,Madhya Pradesh,MP,India,in,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Betamcherla_CmtNgRod_D (Andhra Pradesh),Betamcherla,CmtNgRod,D,Andhra Pradesh,14.762005,78.874889,"Andhra Pradesh, India",Andhra Pradesh,,,,,,,,,Andhra Pradesh,AP,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Junagadh_keshod_DC (Gujarat),Junagadh,keshod,DC,Gujarat,21.5220416,70.4582458,"Junagadh, GJ, India",,,,,,362015,Junagadh,Junagadh City Taluka,,Gujarat,GJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mangrol_JilRDDPP_D (Gujarat),Mangrol,JilRDDPP,D,Gujarat,,,,,,,,,,,,,,,,,,,,,,
Nawanshahr_DC (Punjab),Nawanshahr,,DC,Punjab,31.1256744,76.1159294,"Nawanshahr, PB, India",,,,,,144514,Nawanshahr,Nawanshahr Tahsil,,Punjab,PB,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Machhiwara_MnBzrDPP_D (Punjab),Machhiwara,MnBzrDPP,D,Punjab,,,,,,,,,,,,,,,,,,,,,,
Madurai_Kappalur_H (Tamil Nadu),Madurai,Kappalur,H,Tamil Nadu,9.85194,78.02532,"Kappalūr Railway Station, Kappalur, Madurai, India",Kappalūr Railway Station,,,,,,Kappalur,Madurai,MA,Tamil Nadu,TN,India,in,1,1,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Sivakasi_Msstreet_DC (Tamil Nadu),Sivakasi,Msstreet,DC,Tamil Nadu,9.45083,77.7976686,"Sivakasi, TN, India",,,,,,626123,Sivakasi,Sivakasi,,Tamil Nadu,TN,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sankaran_Kovil_D (Tamil Nadu),Sankaran,Kovil,D,Tamil Nadu,12.991672,80.262448,"Uma Sankaran Siddha Hospital, Ward 181, Chennai - 600041, TN, India",Uma Sankaran Siddha Hospital,,,Adyar,Ward 181,600041,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malvan_BllvMarg_D (Maharashtra),Malvan,BllvMarg,D,Maharashtra,21.290589,74.05539,"Malvan, NB, India",,,,,,,Malvan,Nandurbar,NB,Maharashtra,MH,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mandi_Gobindgarh_DC (Punjab),Mandi,Gobindgarh,DC,Punjab,30.6693384,76.2974678,"Mandi Gobindgarh, Grand Trunk Road, Mandi Gobindgarh - 147301, PB, India",Mandi Gobindgarh,,Grand Trunk Road,,,147301,Mandi Gobindgarh,Amloh Tahsil,,Punjab,PB,India,in,0.18000000000000002,0.18000000000000002,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmedabad_Mithakal_D (Gujarat),Ahmedabad,Mithakal,D,Gujarat,23.0215374,72.5800568,"Ahmedabad, GJ, India",,,,,,380001,Ahmedabad,Ahmedabad,,Gujarat,GJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pilibanga_BsstdDPP_D (Rajasthan),Pilibanga,BsstdDPP,D,Rajasthan,29.4916223,74.0790249,"Pilibanga, RJ, India",,,,,,335803,Pilibanga,Pilibanga Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anupgarh_PrmNrDPP_D (Rajasthan),Anupgarh,PrmNrDPP,D,Rajasthan,29.1906459,73.2113999,"Anupgarh, RJ, India",,,,,,335700,Anupgarh,Anupgarh Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyderabad_South_R_11 (Telangana),Hyderabad,South,R11,Telangana,17.3548033,78.5695656,"South End Park Road, Ward 11 Nagole, Hyderabad - 500068, TG, India",South End Park Road,,South End Park Road,Greater Hyderabad Municipal Corporation East Zone,Ward 11 Nagole,500068,Hyderabad,Saroornagar mandal,,Telangana,TG,India,in,0.81,0.81,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DhrmpuriTS_HanumDPP_D (Telangana),DhrmpuriTS,HanumDPP,D,Telangana,,,,,,,,,,,,,,,,,,,,,,
Yellandu_Sudimala_D (Telangana),Yellandu,Sudimala,D,Telangana,17.5915639,80.3216885,"Yellandu, TG, India",,,,,,507123,Yellandu,Yellandu mandal,,Telangana,TG,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rayaparthi_Perkadrd_D (Telangana),Rayaparthi,Perkadrd,D,Telangana,18,79.5,"Telangana, WA, India",,,,,,,Telangana,Warangal,WA,Telangana,TG,India,in,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Nuzvid_Ward17_D (Andhra Pradesh),Nuzvid,Ward17,D,Andhra Pradesh,16.78854,80.84593,"Nūzvīd, KR, India",,,,,,,Nūzvīd,Krishna,KR,Andhra Pradesh,AP,India,in,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Bassi_DmodrNGR_D (Rajasthan),Bassi,DmodrNGR,D,Rajasthan,26.84152,76.0853,"Bassi, JP, India",,,,,,,Bassi,Jaipur,JP,Rajasthan,RJ,India,in,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Lalsot_NWclyDPP_D (Rajasthan),Lalsot,NWclyDPP,D,Rajasthan,26.5630662,76.3281328,"Lalsot, RJ, India",,,,,,303503,Lalsot,Lalsot Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nawalgarh_NavldiDPP_D (Rajasthan),Nawalgarh,NavldiDPP,D,Rajasthan,27.8503,75.2741,"Nawalgarh, RJ, India",,,,,,333042,Nawalgarh,Nawalgarh Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rajgarh_SadulDPP_D (Rajasthan),Rajgarh,SadulDPP,D,Rajasthan,,,,,,,,,,,,,,,,,,,,,,
Taranagar_RajRdDPP_D (Rajasthan),Taranagar,RajRdDPP,D,Rajasthan,28.6707787,75.0361419,"Taranagar, RJ, India",,,,,,331304,Taranagar,Taranagar Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malur_NharuExt_D (Karnataka),Malur,NharuExt,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,
Ratnagiri_MjgaonRd_D (Maharashtra),Ratnagiri,MjgaonRd,D,Maharashtra,16.9933521,73.2954371,"Ratnagiri, MH, India",,,,,,415612,Ratnagiri,Ratnagiri Taluka,,Maharashtra,MH,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shirala_Central_DPP_3 (Maharashtra),Shirala,Central,DPP3,Maharashtra,21.122874,77.747007,"Shirala, AM, India",,,,,,,Shirala,Amravati,AM,Maharashtra,MH,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Khambhalia_JdswarRD_D (Gujarat),Khambhalia,JdswarRD,D,Gujarat,22.2061906,69.6505673,"Khambhalia, GJ, India",,,,,,361305,Khambhalia,Khambhalia Taluka,,Gujarat,GJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhatiya_Kalyanpr_D (Gujarat),Bhatiya,Kalyanpr,D,Gujarat,22.088543,69.2800719,"Bhatiya, Station Road, Bhatiya -, GJ, India",Bhatiya,,Station Road,,,,Bhatiya,Kalyanpur Taluka,,Gujarat,GJ,India,in,0.567,0.567,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Srirangapatna_Bburynkpl_D (Karnataka),Srirangapatna,Bburynkpl,D,Karnataka,12.4226442,76.6849312,"Srirangapatna, KA, India",,,,,,571438,Srirangapatna,Srirangapattana taluk,,Karnataka,KA,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mandya_Dc (Karnataka),Mandya,,Dc,Karnataka,12.5238888,76.8961961,"Mandya, KA, India",,,,,,571401,Mandya,Mandya taluk,,Karnataka,KA,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ramanagara_BMRd_DC (Karnataka),Ramanagara,BMRd,DC,Karnataka,15.052838,76.209105,"Ramanagara, Hagaribommanahalli, BL, India",Ramanagara,,,,Ramanagara,,Hagaribommanahalli,Bellary,BL,Karnataka,KA,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kanakapura_VaniThtr_D (Karnataka),Kanakapura,VaniThtr,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,
Mumbai_Kalyan West _Dc (Maharashtra),Mumbai,Kalyan West,Dc,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat_Brpc (Gujarat),Surat,,Brpc,Gujarat,21.2094892,72.8317058,"Surat, GJ, India",,,,,,395008,Surat,Katargam Taluka,,Gujarat,GJ,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pilani (Rajasthan),Pilani,,,Rajasthan,28.3622661,75.6042342,"Pilani, RJ, India",,,,,,333031,Pilani,Surajgarh Tehsil,,Rajasthan,RJ,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pangodu_Central_D_1 (Kerala),Pangodu,Central,D1,Kerala,8.4870167,76.9526408,"Thiruvananthapuram Central, Thiruvananthapuram - Nagercoil Highway, Thampanoor, Thiruvananthapuram - 695001, KL, India",Thiruvananthapuram Central,,Thiruvananthapuram - Nagercoil Highway,Valiasala,Thampanoor,695001,Thiruvananthapuram,Thiruvananthapuram,,Kerala,KL,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bngnpalle_Enkndla_D (Andhra Pradesh),Bngnpalle,Enkndla,D,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,
Paramakudi_VagaiNgr_D (Tamil Nadu),Paramakudi,VagaiNgr,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Ramnthpurm_TnhbBlkC_D (Tamil Nadu),Ramnthpurm,TnhbBlkC,D,Tamil Nadu,11.052213,78.408526,"Tamil Nadu, India",Tamil Nadu,,,,,,,,,Tamil Nadu,TN,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Rameswram_Kdthdstrt_D (Tamil Nadu),Rameswram,Kdthdstrt,D,Tamil Nadu,18.579074,84.145427,"Rameswram, AP, India",,,,,,,Rameswram,Srikakulam,,Andhra Pradesh,AP,India,in,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Muthukulathur_VaiklSRT_D (Tamil Nadu),Muthukulathur,VaiklSRT,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Narikkudi_MukkuRD_D (Tamil Nadu),Narikkudi,MukkuRD,D,Tamil Nadu,11.059566,79.447996,"Narikudi, TJ, India",,,,,,,Narikudi,Thanjavur,TJ,Tamil Nadu,TN,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Barbil_PunjbiPd_D (Orissa),Barbil,PunjbiPd,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Goa_Margao_Dc (Goa),Goa,Margao,Dc,Goa,13.71667,123.41667,"Goa, CS, Philippines",,,,,,,Goa,Goa,,Camarines Sur,CS,Philippines,ph,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ghanashyampur_NditaDPP_D (West Bengal),Ghanashyampur,NditaDPP,D,West Bengal,23.465588,87.202368,"Ghanashyampur, WB, India",,,,,,,Ghanashyampur,Bankura,,West Bengal,WB,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
NOI_RPC (Delhi),NOI,,RPC,Delhi,21.0653773,105.3125605,"Nội (Hà Nội), Vietnam",,,,,,12627,Hà Nội,,,,,Vietnam,vn,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baruipur_Bnsibtla_D (West Bengal),Baruipur,Bnsibtla,D,West Bengal,22.3606792,88.4322502,"Baruipur, WB, India",,,,,,700144,Baruipur,Baruipur,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaynagar_MjlprDPP_D (West Bengal),Jaynagar,MjlprDPP,D,West Bengal,22.22306,88.50026,"Jaynagar I, PS, India",,,,,,,Jaynagar I,24 Parganas South,PS,West Bengal,WB,India,in,0.45,,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Sultana_Central_DPP_1 (Rajasthan),Sultana,Central,DPP1,Rajasthan,28.20752,75.83468,"Sultana, Sultana Ahiran, JJ, India",Sultana,,,,Sultana,,Sultana Ahiran,Jhunjhunun,JJ,Rajasthan,RJ,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Choutuppal_Nagaram_D (Telangana),Choutuppal,Nagaram,D,Telangana,17.252575,78.896873,"Choutuppal, NA, India",,,,,,,Choutuppal,Nalgonda,NA,Telangana,TG,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Miryalguda_Ragvendr_D (Telangana),Miryalguda,Ragvendr,D,Telangana,16.871465,79.560903,"Mirialguda, NA, India",,,,,,,Mirialguda,Nalgonda,NA,Telangana,TG,India,in,0.405,,0.81,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Suryapet_Krishna_D (Telangana),Suryapet,Krishna,D,Telangana,17.146628,79.621527,"Vijaya Krishna Nursing Home, Suryapet - 508213, TG, India",Vijaya Krishna Nursing Home,,,,,508213,Suryapet,Nalgonda,NA,Telangana,TG,India,in,0.7290000000000001,0.7290000000000001,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Blr_Domlur (Karnataka),Blr,,Domlur,Karnataka,13.1976048,77.7074856433438,"Kempegowda International Airport, KIAL T1 Entry Road, - 560300, KA, India",Kempegowda International Airport,,KIAL T1 Entry Road,,,560300,,Devanahalli taluku,,Karnataka,KA,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Allahabad_Central_D_5 (Uttar Pradesh),Allahabad,Central,D5,Uttar Pradesh,25.427256,81.91435,"Central Academy, Durjanpur - 211019, UP, India",Central Academy,,,,,211019,Durjanpur,Allahabad,AH,Uttar Pradesh,UP,India,in,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Soraon_BypassRD_D (Uttar Pradesh),Soraon,BypassRD,D,Uttar Pradesh,25.6080827,81.8463559,"Soraon, UP, India",,,,,,212502,Soraon,Soraon,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Majalgaon_SmbjiCwk_D (Maharashtra),Majalgaon,SmbjiCwk,D,Maharashtra,19.1551307,76.2099185,"Majalgaon, MH, India",,,,,,431131,Majalgaon,Majalgaon,,Maharashtra,MH,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jamshedpur_Central_I_3 (Jharkhand),Jamshedpur,Central,I3,Jharkhand,22.792651,86.186859,"Central Bank, Jamshedpur - 831001, JH, India",Central Bank,,,,,831001,Jamshedpur,Purba Singhbhum,ES,Jharkhand,JH,India,in,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ghazipur_Kaithwal_D (Uttar Pradesh),Ghazipur,Kaithwal,D,Uttar Pradesh,25.009528,81.903315,"Kaithwal, UP, India",,,,,,,Kaithwal,Allahabad,,Uttar Pradesh,UP,India,in,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
