original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,suburb,district,postcode,city,county_code,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Ludhiana_MilrGanj_HB (Punjab),Ludhiana,MilrGanj,HB,Punjab,30.9090157,75.851601,"Ludhiana, PB, India",,,,,,141001,Ludhiana,,Ludhiana (West) Tahsil,Punjab,PB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jalandhar_DPC (Punjab),Jalandhar,,DPC,Punjab,31.3323762,75.576889,"Jalandhar, PB, India",,,,,,144001,Jalandhar,,Jalandhar I Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gurgaon_Begumpur_CP (Haryana),Gurgaon,Begumpur,CP,Haryana,28.42826235,77.00270014657752,"Gurgaon, HR, India",,,,,,,Gurgaon,,,Haryana,HR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaipur_Hub (Rajasthan),Jaipur,,Hub,Rajasthan,26.9154576,75.8189817,"Jaipur, RJ, India",,,,,,302001,Jaipur,,Jaipur Tehsil,Rajasthan,RJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ajmer_FoySGRRD_I (Rajasthan),Ajmer,FoySGRRD,I,Rajasthan,26.4691,74.639,"Ajmer, RJ, India",,,,,,,Ajmer,,Ajmer Tehsil,Rajasthan,RJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pali_Nayagaon_I (Rajasthan),Pali,Nayagaon,I,Rajasthan,26.19626,74.35768,"Nayagaon, Naya Badiya, PA, India",Nayagaon,,,Nayagaon,,,Naya Badiya,PA,Pāli,Rajasthan,RJ,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Jodhpur_Basni_I (Rajasthan),Jodhpur,Basni,I,Rajasthan,26.2230338,73.01093480340819,"Basni, Basani, Jodhpur - 342005, RJ, India",Basni,,,Basani,,342005,Jodhpur,,Jodhpur Tehsil,Rajasthan,RJ,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Piparcity_BsstdDPP_D (Rajasthan),Piparcity,BsstdDPP,D,Rajasthan,26.382274,73.540778,"CHC, Piparcity, Pipar - 342606, RJ, India","CHC, Piparcity",,,,,342606,Pipar,JO,Jodhpur,Rajasthan,RJ,India,in,,0,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gurgaon_Bilaspur_HB (Haryana),Gurgaon,Bilaspur,HB,Haryana,28.42826235,77.00270014657752,"Gurgaon, HR, India",,,,,,,Gurgaon,,,Haryana,HR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyderabad_Chikdply_C (Telangana),Hyderabad,Chikdply,C,Telangana,,,,,,,,,,,,,,,,,,,,,,,
Bhopal_Trnsport_H (Madhya Pradesh),Bhopal,Trnsport,H,Madhya Pradesh,23.2584857,77.401989,"Bhopal, MP, India",,,,,,462001,Bhopal,,Huzur Tahsil,Madhya Pradesh,MP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kanpur_Central_H_6 (Uttar Pradesh),Kanpur,Central,H6,Uttar Pradesh,26.454660099999998,80.35179975802959,"Kanpur Central, Kanpur Cantonment, Kanpur - 208004, UP, India",Kanpur Central,,,Kanpur Cantonment,,208004,Kanpur,,Kanpur Nagar,Uttar Pradesh,UP,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Auraiya_AryaNagr_D (Uttar Pradesh),Auraiya,AryaNagr,D,Uttar Pradesh,26.4645159,79.5101594,"Auraiya, UP, India",,,,,,206122,Auraiya,,Auraiya,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Etawah_MhraChng_D (Uttar Pradesh),Etawah,MhraChng,D,Uttar Pradesh,26.7780674,79.0220015,"Etawah, UP, India",,,,,,206001,Etawah,,Etawah,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmedabad_East_H_1 (Gujarat),Ahmedabad,East,H1,Gujarat,23.015457,72.607002,"Kankaria East, Ward 47, Ahmedabad - 380021, GJ, India",Kankaria East,,,Ward 47,,380021,Ahmedabad,AH,Ahmadabad,Gujarat,GJ,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat_HUB (Gujarat),Surat,,HUB,Gujarat,21.2094892,72.8317058,"Surat, GJ, India",,,,,,395008,Surat,,Katargam Taluka,Gujarat,GJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nanded_Aswningr_I (Maharashtra),Nanded,Aswningr,I,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,
Loha_SivjiCWK_D (Maharashtra),Loha,SivjiCWK,D,Maharashtra,18.955805,77.123123,"Loha, ND, India",,,,,,,Loha,ND,Nanded,Maharashtra,MH,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Gangakher_Busstand_D (Maharashtra),Gangakher,Busstand,D,Maharashtra,18.965041,76.748806,"Gangakher, MH, India",,,,,,,Gangakher,,Parbhani,Maharashtra,MH,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Parli_JirgeNgr_D (Maharashtra),Parli,JirgeNgr,D,Maharashtra,18.851086,76.529203,"Parli, BI, India",,,,,,,Parli,BI,Bid,Maharashtra,MH,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ambajogai_BnsllNgr_D (Maharashtra),Ambajogai,BnsllNgr,D,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,
Mumbai_MaladWest_CP (Maharashtra),Mumbai,MaladWest,CP,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bengaluru_Hoodi_IP (Karnataka),Bengaluru,Hoodi,IP,Karnataka,12.9888029,77.711326,"Hoodi Main Road, Hoodi, Bangalore - 560048, KA, India",Hoodi,,Hoodi Main Road,Hoodi,Ashraya Layout,560048,Bangalore,,Bangalore East,Karnataka,KA,India,in,,0.6,0.6,0.6666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loharu_BstndDPP_D (Haryana),Loharu,BstndDPP,D,Haryana,28.4279477,75.8054759,"Loharu, HR, India",,,,,,123200,Loharu,,Loharu,Haryana,HR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ChrkhiDdri_PuranDPP_D (Haryana),ChrkhiDdri,PuranDPP,D,Haryana,,,,,,,,,,,,,,,,,,,,,,,
Boisar_OstwlEmp_D (Maharashtra),Boisar,OstwlEmp,D,Maharashtra,19.799664,72.742928,"Boisar, MH, India",,,,,,,Boisar,,Thane,Maharashtra,MH,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Dahanu_KetyDPP_D (Maharashtra),Dahanu,KetyDPP,D,Maharashtra,19.9887244,72.733848,"Dahanu, MH, India",,,,,,401600,Dahanu,,Dahanu Taluka,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hapur_Swargash_D (Uttar Pradesh),Hapur,Swargash,D,Uttar Pradesh,28.7299677,77.775499,"Hapur, UP, India",,,,,,245101,Hapur,,Hapur,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bangana_Bhaleti_D (Himachal Pradesh),Bangana,Bhaleti,D,Himachal Pradesh,31.6316483,76.340029,"Bangana, HP, India",,,,,,177041,Bangana,,Bangana,Himachal Pradesh,HP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nadaun_Ward6_D (Himachal Pradesh),Nadaun,Ward6,D,Himachal Pradesh,31.7819445,76.3434752,"Nadaun, HP, India",,,,,,177033,Nadaun,,Nadaun,Himachal Pradesh,HP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Balotra_BsnoiHPL_D (Rajasthan),Balotra,BsnoiHPL,D,Rajasthan,25.834763,72.2410908,"Balotra, RJ, India",,,,,,344022,Balotra,,Pachpadra Tehsil,Rajasthan,RJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pokhran_SttinDPP_D (Rajasthan),Pokhran,SttinDPP,D,Rajasthan,,,,,,,,,,,,,,,,,,,,,,,
Phalodi_PalikDPP_D (Rajasthan),Phalodi,PalikDPP,D,Rajasthan,,,,,,,,,,,,,,,,,,,,,,,
Mehsana_Panchot_IP (Gujarat),Mehsana,Panchot,IP,Gujarat,23.619173,72.34632,"Panchot Circle, Mahesana -, GJ, India",,,Panchot Circle,,,,Mahesana,MA,Mahesana,Gujarat,GJ,India,in,,0.6075,0.6075,0.675,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Unjha_DC (Gujarat),Unjha,,DC,Gujarat,23.8042717,72.3912763,"Unjha, GJ, India",,,,,,384170,Unjha,,Unjha Taluka,Gujarat,GJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Patan_Central_D_2 (Gujarat),Patan,Central,D2,Gujarat,23.8505032,72.1133403,"Patan, GJ, India",,,,,,384200,Patan,,Patan Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhabhar_TirupDPP_D (Gujarat),Bhabhar,TirupDPP,D,Gujarat,24.0701471,71.5976062,"Bhabhar, GJ, India",,,,,,385320,Bhabhar,,Bhabhar Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AMD_Memnagar (Gujarat),AMD,,Memnagar,Gujarat,23.361661,71.64895,"Gujarat, India",Gujarat,,,,,,,,,Gujarat,GJ,India,in,,0.5,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Aluva_Peedika_H (Kerala),Aluva,Peedika,H,Kerala,10.100414,76.356986,"Aluva, KL, India",,,,,,683101,Aluva,,Aluva,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cochin_Chtrpuza_D (Kerala),Cochin,Chtrpuza,D,Kerala,9.9674277,76.2454436,"Kochi, KL, India",,,,,,682001,Kochi,,Kochi,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pune_Tathawde_H (Maharashtra),Pune,Tathawde,H,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,
Solapur_Central_I_2 (Maharashtra),Solapur,Central,I2,Maharashtra,17.6699734,75.9008118,"Solapur, MH, India",,,,,,413001,Solapur,,Solapur North,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kakinada_DC (Andhra Pradesh),Kakinada,,DC,Andhra Pradesh,16.9437385,82.2350607,"Kakinada, AP, India",,,,,,533001,Kakinada,,Kakinada (Urban),Andhra Pradesh,AP,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tuni_Eaglvari_D (Andhra Pradesh),Tuni,Eaglvari,D,Andhra Pradesh,17.3614675,82.5467956,"Tuni, AP, India",,,,,,533401,Tuni,,Tuni,Andhra Pradesh,AP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Purnia_Central_H_2 (Bihar),Purnia,Central,H2,Bihar,25.7773601,87.4731227,"Purnia, BR, India",,,,,,854301,Purnia,,Purnia East,Bihar,BR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Supaul_SadrHsptl_D (Bihar),Supaul,SadrHsptl,D,Bihar,,,,,,,,,,,,,,,,,,,,,,,
Saharsa_Gangjala_D (Bihar),Saharsa,Gangjala,D,Bihar,25.8863,86.5891,"Gangjala, Saharsa, SH, India",Gangjala,,,,,,Saharsa,SH,Saharsa,Bihar,BR,India,in,,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Madhepura_Krishnpr_D (Bihar),Madhepura,Krishnpr,D,Bihar,25.9174142,86.7915907,"Madhepura, BR, India",,,,,,852113,Madhepura,,Madhepura,Bihar,BR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Triveninganj_Central_D_1 (Bihar),Triveninganj,Central,D1,Bihar,26.499803,89.309014,"Central School Colony, Purba Kathalbari, WB, India",Central School Colony,,,Central School Colony,,,Purba Kathalbari,,Koch Bihar,West Bengal,WB,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Visakhapatnam,Gajuwaka,IP,Andhra Pradesh,17.7,83.21667,"Gajuwaka, Visakhapatnam, VS, India",Gajuwaka,,,Gajuwaka,,,Visakhapatnam,VS,Visakhapatnam,Andhra Pradesh,AP,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Anakapalle_Kothuru_D (Andhra Pradesh),Anakapalle,Kothuru,D,Andhra Pradesh,17.68897,83.003476,"Anakapalle, AP, India",,,,,,531001,Anakapalle,,Anakapalle,Andhra Pradesh,AP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Narsiptnm_Wardno8_D (Andhra Pradesh),Narsiptnm,Wardno8,D,Andhra Pradesh,15.83333,79.75,"Andhra Pradesh, India",Andhra Pradesh,,,,,,,,,Andhra Pradesh,AP,India,in,,0.125,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Ranchi_Hub (Jharkhand),Ranchi,,Hub,Jharkhand,23.3700501,85.3250387,"Ranchi, JH, India",,,,,,834001,Ranchi,,Kanke,Jharkhand,JH,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ramgarh_HotelPrk_D (Jharkhand),Ramgarh,HotelPrk,D,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,
Hazaribag_BodomBzr_DC (Jharkhand),Hazaribag,BodomBzr,DC,Jharkhand,23.98178,85.359021,"Hazaribagh, JH, India",,,,,,,Hazaribagh,,Hazaribagh,Jharkhand,JH,India,in,,0.405,,0.81,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
JhumriTlya_RadhaCpx_D (Jharkhand),JhumriTlya,RadhaCpx,D,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,
Beawar_DC (Rajasthan),Beawar,,DC,Rajasthan,26.0992137,74.3127044,"Beawar, RJ, India",,,,,,305900,Beawar,,Beawar Tehsil,Rajasthan,RJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilara_Central_DPP_2 (Rajasthan),Bilara,Central,DPP2,Rajasthan,26.179893,73.708743,"Bilara, JO, India",,,,,,,Bilara,JO,Jodhpur,Rajasthan,RJ,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bijainagar_Central_DPP_1 (Rajasthan),Bijainagar,Central,DPP1,Rajasthan,26.14198,75.19246,"Bijainagar, TO, India",,,,,,,Bijainagar,TO,Tonk,Rajasthan,RJ,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kekri_LxmntDPP_D (Rajasthan),Kekri,LxmntDPP,D,Rajasthan,25.974212,75.1545672,"Kekri, RJ, India",,,,,,305404,Kekri,,Kekri Tehsil,Rajasthan,RJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nasirabad_Central_DPP_2 (Rajasthan),Nasirabad,Central,DPP2,Rajasthan,26.300138,74.731073,"Nasirabad, AJ, India",,,,,,,Nasirabad,AJ,Ajmer,Rajasthan,RJ,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Hyderabad_Uppal_I (Telangana),Hyderabad,Uppal,I,Telangana,17.4025091,78.5612562,"Uppal, Hyderabad, TG, India",,,,Uppal,Greater Hyderabad Municipal Corporation East Zone,500039,Hyderabad,,Uppal mandal,Telangana,TG,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhuvanagiri_HBColny_D (Telangana),Bhuvanagiri,HBColny,D,Telangana,17.508363,78.884312,"Bhongir, NA, India",,,,,,,Bhongir,NA,Nalgonda,Telangana,TG,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mothkur_Mainroad_D (Telangana),Mothkur,Mainroad,D,Telangana,17.45428,79.257858,"Mothkur, TG, India",,,,,,,Mothkur,,Nalgonda,Telangana,TG,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Thirumalagiri_Xroad_D (Telangana),Thirumalagiri,Xroad,D,Telangana,18.083826,79.739749,"Thirumalagiri, WA, India",,,,,,,Thirumalagiri,WA,Warangal,Telangana,TG,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Madhupur_Sitarmrd_D (Jharkhand),Madhupur,Sitarmrd,D,Jharkhand,24.2741982,86.6392318,"Madhupur, JH, India",,,,,,815353,Madhupur,,Madhupur,Jharkhand,JH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Khammam_NSTRoad_I (Telangana),Khammam,NSTRoad,I,Telangana,17.2465351,80.1500326,"Khammam, TG, India",,,,,,507003,Khammam,,Khammam Urban mandal,Telangana,TG,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kodad_VidyaNgr_D (Telangana),Kodad,VidyaNgr,D,Telangana,16.96424,80.00659,"Kodad, NA, India",,,,,,,Kodad,NA,Nalgonda,Telangana,TG,India,in,,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Mumbai Hub (Maharashtra),Mumbai,,Hub,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaipur_Central_I_7 (Rajasthan),Jaipur,Central,I7,Rajasthan,26.917309,75.803539,"Central Post GPO, Ward 126, Jaipur - 302001, RJ, India",Central Post GPO,,,Ward 126,Zone 7,302001,Jaipur,JP,Jaipur,Rajasthan,RJ,India,in,,0.81,0.81,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guwahati_Hub (Assam),Guwahati,,Hub,Assam,26.1805978,91.753943,"Guwahati, AS, India",,,,,,781015,Guwahati,,Guwahati,Assam,AS,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Morbi_DC (Gujarat),Morbi,,DC,Gujarat,22.8176662,70.8345928,"Morbi, GJ, India",,,,,,363641,Morbi,,Morbi Taluka,Gujarat,GJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wankaner_JivanDPP_D (Gujarat),Wankaner,JivanDPP,D,Gujarat,22.6153934,70.9495617,"Wankaner, GJ, India",,,,,,363621,Wankaner,,Wankaner Taluka,Gujarat,GJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BLR_JPNagar_Pc (Karnataka),BLR,JPNagar,Pc,Karnataka,12.970541,77.604785,"Bangalore, BN, India",,,,,,,Bangalore,BN,Bangalore,Karnataka,KA,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bengaluru_KGAirprt_HB (Karnataka),Bengaluru,KGAirprt,HB,Karnataka,12.9767936,77.590082,"Bengaluru, KA, India",,,,,,560001,Bengaluru,,Bangalore North,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kolkata_Dankuni_HB (West Bengal),Kolkata,Dankuni,HB,West Bengal,22.5726459,88.3638953,"Kolkata, WB, India",,,,,,,Kolkata,,Kolkata,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhubaneshwar_Hub (Orissa),Bhubaneshwar,,Hub,Orissa,20.2602964,85.8394521,"Bhubaneshwar, OR, India",,,,,,751001,Bhubaneshwar,,Bhubaneswar (M.Corp.),Odisha,OR,India,in,,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alwar_Central_I_1 (Rajasthan),Alwar,Central,I1,Rajasthan,27.544724,76.6065665,"central avenue store, 08, running track, Alwar - 301001, RJ, India",central avenue store,08,running track,,,301001,Alwar,,Alwar Tehsil,Rajasthan,RJ,India,in,,0.44099999999999995,0.44099999999999995,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bharatpur_NraynDPP_D (Rajasthan),Bharatpur,NraynDPP,D,Rajasthan,,,,,,,,,,,,,,,,,,,,,,,
Bharatpur_DC (Rajasthan),Bharatpur,,DC,Rajasthan,24.6503814,76.4782977,"Bharatpur, RJ, India",,,,,,,Bharatpur,,Khanpur Tehsil,Rajasthan,RJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Weir_BsstdDPP_D (Rajasthan),Weir,BsstdDPP,D,Rajasthan,27.0179768,77.174077,"Weir, RJ, India",,,,,,321408,Weir,,Weir Tehsil,Rajasthan,RJ,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kherli_GodamDPP_D (Rajasthan),Kherli,GodamDPP,D,Rajasthan,24.63527,76.97656,"Kherli, BR, India",,,,,,,Kherli,BR,Baran,Rajasthan,RJ,India,in,,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
