original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,district,housenumber,name,suburb,street,county_code,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Kanpur_Central_D_7 (Uttar Pradesh),Kanpur,Central,D7,Uttar Pradesh,26.454660099999998,80.35179975802959,"Kanpur Central, Kanpur Cantonment, Kanpur - 208004, UP, India",,,Kanpur Central,Kanpur Cantonment,,,208004,Kanpur,Kanpur Nagar,Uttar Pradesh,UP,India,in,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Silchar_Sirikona_H (Assam),Silchar,Sirikona,H,Assam,24.829588,92.797148,"Silchar, AS, India",,,,,,,788014,Silchar,Silchar,Assam,AS,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anand_Vaghasi_IP (Gujarat),Anand,Vaghasi,IP,Gujarat,22.54853245,73.00013651825472,"Vaghasi, GJ, India",,,,,,,388320,Vaghasi,Anand Rural Taluka,Gujarat,GJ,India,in,0.405,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Manjeshwar_Central_D_1 (Kerala),Manjeshwar,Central,D1,Kerala,12.7193588,74.8861095,"Manjeshwar, KL, India",,,,,,,671323,Manjeshwar,Manjeswaram,Kerala,KL,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kanhangad_Arangadi_D (Kerala),Kanhangad,Arangadi,D,Kerala,12.2997774,75.1035056,"Arangadi-Kalayara, Kanhangad South, Cheruvathur - 671315, KL, India",,,,Kanhangad South,Arangadi-Kalayara,,671315,Cheruvathur,Hosdurg,Kerala,KL,India,in,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trivandrum_Mnanthla_H (Kerala),Trivandrum,Mnanthla,H,Kerala,8.487468,76.952869,"Thiruvananthapuram, TV, India",,,,,,TV,,Thiruvananthapuram,Thiruvananthapuram,Kerala,KL,India,in,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mainaguri_MilpaDPP_D (West Bengal),Mainaguri,MilpaDPP,D,West Bengal,26.5652519,88.8221321,"Maynaguri, WB, India",,,,,,,735224,Maynaguri,Maynaguri,West Bengal,WB,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mathabhang_Pshimpra_D (West Bengal),Mathabhang,Pshimpra,D,West Bengal,23.269974,87.815506,"West Bengal, India",,,West Bengal,,,,,,,West Bengal,WB,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Aligarh_KhirByps_I (Uttar Pradesh),Aligarh,KhirByps,I,Uttar Pradesh,27.8815412,78.0690216,"Aligarh, UP, India",,,,,,,202001,Aligarh,Koil,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Barmer_Nehru3PL_D (Rajasthan),Barmer,Nehru3PL,D,Rajasthan,25.745304,71.3998217,"Barmer, RJ, India",,,,,,,344001,Barmer,Barmer Tehsil,Rajasthan,RJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaisalmer_Gopa3PL_D (Rajasthan),Jaisalmer,Gopa3PL,D,Rajasthan,26.9116615,70.9124888,"Jaisalmer, RJ, India",,,,,,,345001,Jaisalmer,Jaisalmer Tehsil,Rajasthan,RJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bihta_ShivNgar_D (Bihar),Bihta,ShivNgar,D,Bihar,25.5593812,84.8705661,"Bihta, BR, India",,,,,,,801103,Bihta,Bihta,Bihar,BR,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arrah_Katira_D (Bihar),Arrah,Katira,D,Bihar,25.5523664,84.6543134,"Mummy's Kitchen, Katira, Station Road, Arrah - 802301, BR, India",,Katira,Mummy's Kitchen,,Station Road,,802301,Arrah,Arrah,Bihar,BR,India,in,0.567,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neemuch_KarjuDPP_D (Madhya Pradesh),Neemuch,KarjuDPP,D,Madhya Pradesh,24.4650023,74.8689508,"Neemuch, MP, India",,,,,,,458411,Neemuch,Neemuch Nagar Tehsil,Madhya Pradesh,MP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BariSadri_BhmprDPP_D (Rajasthan),BariSadri,BhmprDPP,D,Rajasthan,24.888573,74.62596,"barisadri road, Chittaurgarh -, RJ, India",,,,,barisadri road,CH,,Chittaurgarh,Chittorgarh,Rajasthan,RJ,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deoghar_Barmasia_D (Jharkhand),Deoghar,Barmasia,D,Jharkhand,24.321002,86.562506,"Barmasia, JH, India",,,,,,,,Barmasia,Deoghar,Jharkhand,JH,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Godda_Central_D_2 (Jharkhand),Godda,Central,D2,Jharkhand,24.8269822,87.212476,"Godda, JH, India",,,,,,,814133,Godda,Godda,Jharkhand,JH,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sahebganj_BaraLoha_D (Jharkhand),Sahebganj,BaraLoha,D,Jharkhand,,,,,,,,,,,,,,,,,,,,,,
Vadnagar_BsstdDPP_D (Gujarat),Vadnagar,BsstdDPP,D,Gujarat,,,,,,,,,,,,,,,,,,,,,,
Palanpur_DC (Gujarat),Palanpur,,DC,Gujarat,24.1709794,72.4366375,"Palanpur, GJ, India",,,,,,,385001,Palanpur,Palanpur Taluka,Gujarat,GJ,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deesa_HawaiPlr_DC (Gujarat),Deesa,HawaiPlr,DC,Gujarat,24.2594977,72.1803348,"Deesa, GJ, India",,,,,,,385500,Deesa,Deesa Taluka,Gujarat,GJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arimbur_Veluthur_D (Kerala),Arimbur,Veluthur,D,Kerala,10.49501785,76.15764230204911,"Veluthur Department Colony, Arimbur, Thrissur, India",,,Veluthur Department Colony,,,,,Arimbur,Thrissur,Kerala,KL,India,in,0.81,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sankaramangalam_Central_D_1 (Kerala),Sankaramangalam,Central,D1,Kerala,10.8128527,76.1865355,"Sankaramangalam, KL, India",,,,,,,679303,Sankaramangalam,Pattambi,Kerala,KL,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shoranur_KdrShrRd_D (Kerala),Shoranur,KdrShrRd,D,Kerala,10.7637196,76.272355,"Shoranur, KL, India",,,,,,,679121,Shoranur,Ottappalam,Kerala,KL,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pazhayannur_AlathurRD_D (Kerala),Pazhayannur,AlathurRD,D,Kerala,10.679453,76.425802,"Pazhayannur, TS, India",,,,,,TS,,Pazhayannur,Thrissur,Kerala,KL,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Thiruvarur_Bypasrd_D (Tamil Nadu),Thiruvarur,Bypasrd,D,Tamil Nadu,10.7666538,79.6352476,"Thiruvarur, TN, India",,,,,,,610001,Thiruvarur,Thiruvarur,Tamil Nadu,TN,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thirthurpondi_Madaprum_D (Tamil Nadu),Thirthurpondi,Madaprum,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Pushpavanam_Thmpulam_D (Tamil Nadu),Pushpavanam,Thmpulam,D,Tamil Nadu,10.4531181,79.86167,"Pushpavanam, TN, India",,,,,,,,Pushpavanam,Vedaranyam,Tamil Nadu,TN,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dhanbad_Kalynpur_I (Jharkhand),Dhanbad,Kalynpur,I,Jharkhand,23.7952809,86.4309638,"Dhanbad, JH, India",,,,,,,826001,Dhanbad,Dhanbad-Cum-Kenduadih-Cum-Jagata,Jharkhand,JH,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chimkurthy_MSRClgRd_D (Andhra Pradesh),Chimkurthy,MSRClgRd,D,Andhra Pradesh,14.762005,78.874889,"Andhra Pradesh, India",,,Andhra Pradesh,,,,,,,Andhra Pradesh,AP,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Markapur_VidyaNgr_D (Andhra Pradesh),Markapur,VidyaNgr,D,Andhra Pradesh,15.7406698,79.2698502,"Markapur, AP, India",,,,,,,523300,Markapur,Markapur,Andhra Pradesh,AP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hamirpur_GutmgrCl_D (Himachal Pradesh),Hamirpur,GutmgrCl,D,Himachal Pradesh,31.6848695,76.5254488,"Hamirpur, HP, India",,,,,,,177001,Hamirpur,Hamirpur,Himachal Pradesh,HP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizabad_TrnspNgr_D (Uttar Pradesh),Faizabad,TrnspNgr,D,Uttar Pradesh,26.7789282,82.142694,"Faizabad, UP, India",,,,,,,224001,Faizabad,Faizabad,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gosainganj_Pakrela_D (Uttar Pradesh),Gosainganj,Pakrela,D,Uttar Pradesh,26.58896,82.36389,"Pakrela, AY, India",,,,,,AY,,Pakrela,Ayodhya,Uttar Pradesh,UP,India,in,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Cuddalore_KtsiGrsm_D (Tamil Nadu),Cuddalore,KtsiGrsm,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Chidambaram_ARBNorth_DC (Tamil Nadu),Chidambaram,ARBNorth,DC,Tamil Nadu,11.3994826,79.6909383,"Chidambaram, TN, India",,,,,,,608001,Chidambaram,Chidambaram,Tamil Nadu,TN,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sirkazhi_Pngktgudi_D (Tamil Nadu),Sirkazhi,Pngktgudi,D,Tamil Nadu,11.2377794,79.7395752,"Sirkazhi, TN, India",,,,,,,609100,Sirkazhi,Sirkali,Tamil Nadu,TN,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karaikal_Thalthru_DC (Pondicherry),Karaikal,Thalthru,DC,Pondicherry,10.932419,79.836161,"Karaikal, KA, India",,,,,,KA,,Karaikal,Karaikal,Puducherry,PY,India,in,0.32727272727272727,0.6545454545454545,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Nagapttinm_Sttyapar_D (Tamil Nadu),Nagapttinm,Sttyapar,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Hyderabad_Alwal_L (Telangana),Hyderabad,Alwal,L,Telangana,17.5022292,78.5088584,"Alwal, Hyderabad, TG, India",Greater Hyderabad Municipal Corporation North Zone,,,Alwal,,,500015,Hyderabad,Alwal mandal,Telangana,TG,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vijayawada (Andhra Pradesh),Vijayawada,,,Andhra Pradesh,16.5115306,80.6160469,"Vijayawada, AP, India",,,,,,,520001,Vijayawada,NTR,Andhra Pradesh,AP,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nandigama_Chndrlpd_D (Andhra Pradesh),Nandigama,Chndrlpd,D,Andhra Pradesh,16.773982,80.282367,"Nandigama, KR, India",,,,,,KR,,Nandigama,Krishna,Andhra Pradesh,AP,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Chennai_Egmore_C (Tamil Nadu),Chennai,Egmore,C,Tamil Nadu,13.0728321,80.2576906,"Egmore, Chennai, TN, India",,,,Egmore,,,600001,Chennai,Chennai,Tamil Nadu,TN,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyderabad_Mhdiptnm_C (Telangana),Hyderabad,Mhdiptnm,C,Telangana,,,,,,,,,,,,,,,,,,,,,,
Malda_Central_I_3 (West Bengal),Malda,Central,I3,West Bengal,25.000699,88.136755,"Central Library, Rathbari, Rabindra Ave, Malda - 732101, WB, India",,Rathbari,Central Library,,Rabindra Ave,MA,732101,Malda,Malda,West Bengal,WB,India,in,0.44099999999999995,1,0.44099999999999995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Manikchak_Enayetpr_D (West Bengal),Manikchak,Enayetpr,D,West Bengal,25.0781362,87.8986287,"Manikchak, WB, India",,,,,,,732202,Manikchak,Manikchak,West Bengal,WB,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paranpur_Nijgan_D (West Bengal),Paranpur,Nijgan,D,West Bengal,25.154627,87.967921,"Nijgan Paranpur, WB, India",,,,,,,,Nijgan Paranpur,Malda,West Bengal,WB,India,in,0.45,0.9,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Samsi_RatuaDPP_D (West Bengal),Samsi,RatuaDPP,D,West Bengal,25.2781725,88.0093404,"Samsi, WB, India",,,,,,,732139,Samsi,Ratua - I,West Bengal,WB,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Biswan_PatelNGR_D (Uttar Pradesh),Biswan,PatelNGR,D,Uttar Pradesh,27.4904821,80.995364,"Biswan, UP, India",,,,,,,261200,Biswan,Biswan,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sitapur_Chowk_D (Uttar Pradesh),Sitapur,Chowk,D,Uttar Pradesh,27.576549,80.671051,"Sitapur, SI, India",,,,,,SI,,Sitapur,Sitapur,Uttar Pradesh,UP,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Lakhimpur_Maheva_D (Uttar Pradesh),Lakhimpur,Maheva,D,Uttar Pradesh,27.946309,80.7815166,"Lakhimpur, UP, India",,,,,,,262701,Lakhimpur,Lakhimpur,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gola_BkgnRoad_D (Uttar Pradesh),Gola,BkgnRoad,D,Uttar Pradesh,26.3449263,83.353147,"Gola Bazar, UP, India",,,,,,,273408,Gola Bazar,Gola,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dehradun_Selakui_D (Uttarakhand),Dehradun,Selakui,D,Uttarakhand,30.3255646,78.0436813,"Dehradun, UT, India",,,,,,,248001,Dehradun,Dehradun,Uttarakhand,UT,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mussoorie_BrlwgDPP_D (Uttarakhand),Mussoorie,BrlwgDPP,D,Uttarakhand,30.4569012,78.0782906,"Mussoorie, UT, India",,,,,,,248179,Mussoorie,Dehradun,Uttarakhand,UT,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Virar_DC (Maharashtra),Mumbai,Virar,DC,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,,Mumbai,,Maharashtra,MH,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gonda_KotwaliN_D (Uttar Pradesh),Gonda,KotwaliN,D,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,
Nadiad_DC (Gujarat),Nadiad,,DC,Gujarat,22.6895535,72.8713603,"Nadiad, GJ, India",,,,,,,387001,Nadiad,Nadlad City Taluka,Gujarat,GJ,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Umreth_Dakor_DC (Gujarat),Umreth,Dakor,DC,Gujarat,22.6990518,73.115045,"Umreth, GJ, India",,,,,,,388220,Umreth,Umreth Taluka,Gujarat,GJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gandhinagar_Kalol_DC (Gujarat),Gandhinagar,Kalol,DC,Gujarat,23.240903,72.494709,"Kalol, GA, India",,,,,,GA,,Kalol,Gandhinagar,Gujarat,GJ,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Nagamangala_MandyaRD_D (Karnataka),Nagamangala,MandyaRD,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,
Krishnarajpet_MuruPost_D (Karnataka),Krishnarajpet,MuruPost,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,
Tirurangadi_Kooriyad_D (Kerala),Tirurangadi,Kooriyad,D,Kerala,11.0450256,75.936927,"Kooriyad Bypass, Tirurangadi - 676508, KL, India",,,,,Kooriyad Bypass,,676508,Tirurangadi,Tirurangadi,Kerala,KL,India,in,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malappuram_Munduprm_D (Kerala),Malappuram,Munduprm,D,Kerala,11.0428925,76.0807838,"Malappuram, KL, India",,,,,,,,Malappuram,Ernad,Kerala,KL,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Roorkee_Dc (Uttarakhand),Roorkee,,Dc,Uttarakhand,29.8693496,77.8902124,"Roorkee, UT, India",,,,,,,247667,Roorkee,Roorkee,Uttarakhand,UT,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_CottonGreen_DPC (Maharashtra),Mumbai,CottonGreen,DPC,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,,Mumbai,,Maharashtra,MH,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shimoga_DC (Karnataka),Shimoga,,DC,Karnataka,13.9326093,75.574978,"Shivamogga, KA, India",,,,,,,577200,Shivamogga,Shivamogga taluk,Karnataka,KA,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rishikesh_DC (Uttarakhand),Rishikesh,,DC,Uttarakhand,30.1086537,78.2916193,"Rishikesh, UT, India",,,,,,,,Rishikesh,Dehradun,Uttarakhand,UT,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Basti_GndhiNgr_D (Uttar Pradesh),Basti,GndhiNgr,D,Uttar Pradesh,26.7895579,82.7231355,"Basti, UP, India",,,,,,,272001,Basti,Basti,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pune_Chinchwad DC (Maharashtra),Pune,,Chinchwad DC,Maharashtra,18.5213738,73.8545071,"Pune, MH, India",,,,,,,,Pune,Pune District,Maharashtra,MH,India,in,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Samana_PODPP_D (Punjab),Samana,PODPP,D,Punjab,,,,,,,,,,,,,,,,,,,,,,
Amd_Chandkheda_Dc (Gujarat),Amd,Chandkheda,Dc,Gujarat,23.107813,72.579807,"Chandkheda, Ahmedabad, AH, India",,,Chandkheda,Chandkheda,,AH,,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mainpuri_Agraroad_I (Uttar Pradesh),Mainpuri,Agraroad,I,Uttar Pradesh,27.2270677,79.0271702,"Mainpuri, UP, India",,,,,,,205001,Mainpuri,Mainpuri,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Farrukhbad_Pnchlght_D (Uttar Pradesh),Farrukhbad,Pnchlght,D,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,
Shahabad_KDRoad_D (Uttar Pradesh),Shahabad,KDRoad,D,Uttar Pradesh,27.6446688,79.9394235,"Shahabad, UP, India",,,,,,,241124,Shahabad,Shahabad,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tilhar_SingCLNY_D (Uttar Pradesh),Tilhar,SingCLNY,D,Uttar Pradesh,27.9627265,79.7375927,"Tilhar, UP, India",,,,,,,242307,Tilhar,Tilhar,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jalalabad_farukngr_D (Uttar Pradesh),Jalalabad,farukngr,D,Uttar Pradesh,27.100783,79.782495,"Jalalabad, KJ, India",,,,,,KJ,,Jalalabad,Kannauj,Uttar Pradesh,UP,India,in,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bhatinda_DPC (Punjab),Bhatinda,,DPC,Punjab,30.206791,74.9463699,"Bathinda, PB, India",,,,,,,151001,Bathinda,Bathinda Tahsil,Punjab,PB,India,in,0.675,0.675,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brajrajnagar_LamtiDPP_D (Orissa),Brajrajnagar,LamtiDPP,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Sundargarh_DiyoDPP_D (Orissa),Sundargarh,DiyoDPP,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Narsinghgarh_Central_D_1 (Madhya Pradesh),Narsinghgarh,Central,D1,Madhya Pradesh,23.9956625,79.3945884,"Narsinghgarh, MP, India",,,,,,,,Narsinghgarh,Patharia Tahsil,Madhya Pradesh,MP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pachore_Shop3DPP_D (Madhya Pradesh),Pachore,Shop3DPP,D,Madhya Pradesh,23.7137046,76.732889,"Pachore, MP, India",,,,,,,465683,Pachore,Sarangpur Tahsil,Madhya Pradesh,MP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ongole_SubhVRTL_I (Andhra Pradesh),Ongole,SubhVRTL,I,Andhra Pradesh,15.5058714,80.0499454,"Ongole, AP, India",,,,,,,523002,Ongole,Ongole,Andhra Pradesh,AP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Makrana_Mwalibad_D (Rajasthan),Makrana,Mwalibad,D,Rajasthan,27.0388103,74.7271171,"Makrana, RJ, India",,,,,,,341505,Makrana,Makrana Tehsil,Rajasthan,RJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Degana_BhukrdPP_D (Rajasthan),Degana,BhukrdPP,D,Rajasthan,26.8958747,74.3222498,"Degana, RJ, India",,,,,,,341503,Degana,Degana Tehsil,Rajasthan,RJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Merta_Central_DPP_1 (Rajasthan),Merta,Central,DPP1,Rajasthan,24.6354905,73.8583803,"Merta, RJ, India",,,,,,,313022,Merta,Mavli Tehsil,Rajasthan,RJ,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Firozabad_Sudmpuri_D (Uttar Pradesh),Firozabad,Sudmpuri,D,Uttar Pradesh,27.1527986,78.3991439,"Firozabad, UP, India",,,,,,,283203,Firozabad,Firozabad,Uttar Pradesh,UP,India,in,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chinnur_AsnsdhRD_D (Telangana),Chinnur,AsnsdhRD,D,Telangana,18.85779,79.7956,"Chinnūr, AD, India",,,,,,AD,,Chinnūr,Adilabad,Telangana,TG,India,in,0.5,1,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Manthani_Chaitnya_D (Telangana),Manthani,Chaitnya,D,Telangana,13.099542,77.586164,"Chaitnya nursing School, Yelahanka Satellite Town, Bangalore - 560064, KA, India",Yelahanka,,Chaitnya nursing School,Yelahanka Satellite Town,,BN,560064,Bangalore,Bangalore,Karnataka,KA,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
